,ALTER_EU,AccessInfo,CPI_2015,Carnstone,CouncilEurope,FOCAL,GDB,HiredGuns,IBAC,McKayWozniak,Newmark2005,Newmark2017,OpenSecrets,Opheim,SOMO,Sunlight,TI_2016,n_rubrics,total_items
Definition,0,7,0,3,6,12,0,1,6,1,6,7,1,7,1,0,0,12,58
Registration,5,5,0,6,3,7,0,10,1,2,0,0,1,0,12,0,4,11,56
Activity,3,7,0,3,4,12,0,2,8,2,0,0,0,0,12,0,5,10,58
Financial,0,6,0,4,1,3,0,7,1,1,7,7,1,5,1,1,1,14,46
Personnel,2,3,1,3,1,4,0,2,1,0,0,1,0,1,1,0,9,12,29
Prohibitions,0,1,0,1,0,1,0,0,1,0,4,5,0,0,0,0,0,6,13
Timing,5,2,0,2,1,0,0,5,0,1,1,0,1,1,2,0,4,11,25
Accessibility,0,5,1,1,1,8,2,3,3,5,0,0,2,0,6,0,11,12,48
Enforcement,0,32,1,4,2,0,0,12,7,0,0,5,0,7,3,0,1,10,74
Education,0,7,0,1,6,0,1,1,2,0,0,0,0,0,3,0,0,7,21
Conduct,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,8
Other (consult),0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,10
Other (princ),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
