category,state,score_or_band,paper_quote,source_lines
cat2_compensation,ND,low (likely 0; total <10),"nearly all of the poorest scoring states, those that scored less than 10 total, received a zero for the fact that compensation reporting is not required",231-233
cat2_compensation,SD,low (likely 0; total <10),"nearly all of the poorest scoring states, those that scored less than 10 total, received a zero for the fact that compensation reporting is not required",231-233
cat2_compensation,VA,4-5 (full disclosure),"Only one state in the group of states that scored the worst group, Virginia, does require compensation disclosure",238-241
cat3_timely,ND,very low (once-yearly; ≈0-1),"The bottom two states, North and South Dakota, only require reporting once a year",234-236
cat3_timely,SD,very low (once-yearly; ≈0-1),"The bottom two states, North and South Dakota, only require reporting once a year",234-236
cat3_timely,top-tier subset,5 (max),"What further sets apart the states at the top of the list is that they also had perfect scores in timely disclosure, requiring monthly reports throughout the year",225-227
cat4_public_avail,WA,5 (max; all 3 sub-facets high),"For example, Washington state's site allows easy navigation between categories, auto-populates lists which can be filtered and has a clear link to download results at any time",228-230
cat4_public_avail,ND,low,"Additionally, each also scored poorly on ease of search, download ability and availability of lobbyist/client lists",236-237
cat4_public_avail,SD,low,"Additionally, each also scored poorly on ease of search, download ability and availability of lobbyist/client lists",236-237
cat4_public_avail,VA,very low,"But, it does such a poor job of making that information available to the public its overall score in the bottom group of states. While the official Virginia outlet for lobbying information is not up to par, the Virginia Public Access Project, an independent non-profit group, has filled some of the gaps",239-245
cat1_lobbyist_client,OK,baseline-only (likely 3),"Oklahoma's guidance states that 'lobbyists should communicate between themselves to ensure each lobbyist registers the principal [client] using the same information and to determine which lobbyist will pay the registration fee for the principal.' Providing reliable and consistent information to the public is not achieved by asking reporting parties to talk amongst themselves",60-66
top_tier_band,states with total ≥16,"cat2 ≥4 AND cat4 high","The two defining characteristics of all the top-scoring states (16 and up) is that they each require compensation to be reported and they make that information available to the public in an accessible way",221-224
bottom_tier_band,states with total <10,"cat2 = 0 (almost universal)","nearly all of the poorest scoring states, those that scored less than 10 total, received a zero for the fact that compensation reporting is not required. These states also tended to have poor scores in the other categories",231-234
population_anchor_cat2,17 states,cat2 = 0,"Seventeen states do not require compensation paid to lobbyists be disclosed at all",78-79
population_anchor_cat2,7 states,cat2 = 1-3 (partial),"Seven more states only require partial reporting with compensation either reported in ranges or not linked to individual lobbyists",79-81
population_anchor_cat2,26 states,cat2 = 4-5 (full),"26 states require full compensation disclosure",266-267
population_anchor_cat3,20 states,cat3 ≥ 4 (baseline or above),"This is a standard that 20 states are already using some variation of",100-101
population_anchor_cat3,16 states,cat3 = 5 candidates,"16 states do require some form of monthly reporting, often tied to the legislative session",279-280
