state,Q1,Q2,Q3,Q4,Q5,Q6,Q7_raw,Q8_normalized,total_2010,percent_2010,rank_2010
Alabama,1,1,1,1,0,0,3.0,0.1,7.1,32.4,37
Alaska,1,1,1,1,1,0,7.0,0.1,12.1,55.2,10
Arizona,1,1,1,1,0,0,4.0,0,8.0,36.4,31
Arkansas,1,1,1,1,1,0,2.0,0,7.0,31.8,38
California,1,1,1,1,1,1,5.0,0.2,11.2,50.9,13
Colorado,1,1,1,1,1,0,6.0,0.2,11.2,50.9,13
Connecticut,1,1,1,1,1,1,11.0,0.3,17.3,78.5,1
Delaware,1,1,1,1,1,0,3.0,0,8.0,36.4,31
Florida,1,1,1,1,1,0,3.0,0,8.0,36.4,31
Georgia,1,1,1,1,1,1,5.0,0.3,11.3,51.2,12
Hawaii,1,1,1,1,1,0,2.0,0,7.0,31.8,38
Idaho,1,1,1,1,1,0,2.0,0,7.0,31.8,38
Illinois,1,1,1,1,0,0,4.0,0,8.0,36.4,31
Indiana,1,1,1,1,1,1,7.0,0.3,13.3,60.3,5
Iowa,1,1,1,1,0,1,5.0,0.3,10.3,46.7,19
Kansas,1,1,1,1,1,0,5.0,0.1,10.1,46.1,23
Kentucky,1,1,1,1,0,0,3.0,0,7.0,31.8,38
Louisiana,1,1,1,1,1,0,5.0,0.2,10.2,46.4,21
Maine,1,1,1,1,1,1,7,0,13,60.3,5
Maryland,1,1,1,1,1,0,4,0,9,41.8,26
Massachusetts,1,1,1,1,1,0,7,0,12,55.2,10
Michigan,1,1,1,1,1,0,4,0,9,40.9,28
Minnesota,1,1,1,1,1,0,3,0,8,36.4,31
Mississippi,1,1,1,1,1,0,2,0,7,31.8,38
Missouri,1,1,1,1,1,1,6,0,12,55.5,8
Montana,1,1,1,1,0,1,5,0,10,46.7,19
Nebraska,1,1,1,1,1,0,6,0,11,50.9,13
Nevada,1,1,1,1,1,0,4,0,9,40.9,28
New Hampshire,1,1,1,1,0,0,2,0,6,27.3,46
New Jersey,1,1,1,1,1,1,8,0,14,63.6,4
New Mexico,1,1,1,1,1,0,6,0,11,50.0,18
New York,1,1,1,1,1,0,2,0,7,31.8,38
North Carolina,1,1,1,1,1,1,8,0,14,64.8,2
North Dakota,1,1,1,1,1,0,2,0,7,31.8,38
Ohio,1,1,1,1,0,1,6,0,11,50.9,13
Oklahoma,1,1,1,1,1,1,4,0,10,46.4,21
Oregon,1,1,1,1,1,1,3,0,9,41.5,27
Pennsylvania,1,1,1,1,1,0,7,0,12,55.5,8
Rhode Island,1,1,1,1,1,0,5,0,10,46.1,23
South Carolina,1,1,1,1,1,1,0,0,6,27.3,46
South Dakota,1,1,1,1,1,0,4,0,9,42.1,25
Tennessee,1,1,1,1,1,1,5,0,11,50.9,13
Texas,1,1,1,1,1,1,6,0,12,55.8,7
Utah,1,1,1,1,0,0,2,0,6,27.3,46
Vermont,1,1,1,1,0,0,1,0,5,22.7,49
Virginia,1,1,1,1,0,0,3,0,7,32.7,36
Washington,1,1,1,1,1,1,8,0,14,64.8,2
West Virginia,1,1,1,1,0,0,3,0,7,31.8,38
Wisconsin,1,1,1,1,1,0,4,0,9,40.9,28
Wyoming,1,1,1,1,0,0,1,0,5,22.7,49
