cluster_id,cluster_size,source_paper,source_id,source_text
c_001,4,FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
c_001,4,Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees
c_001,4,Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees
c_001,4,Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts
c_002,4,HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?"
c_002,4,Newmark2005,disc_categories_of_expenditures,categories of expenditures
c_002,4,Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures
c_002,4,Opheim,disclosure.spending_by_category,spending by category
c_003,3,FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria"
c_003,3,OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website
c_003,3,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.
c_004,3,HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?
c_004,3,Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year)
c_004,3,Opheim,disclosure.frequency,Frequency of reporting required of lobbyists
c_005,3,Newmark2005,def_legislative_lobbying,legislative lobbying
c_005,3,Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist
c_005,3,Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition
c_006,3,Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying
c_006,3,Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist
c_006,3,Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition
c_007,3,Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists
c_007,3,Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors
c_007,3,Opheim,def.elective_officials,elective officials designated as lobbyists
c_008,3,Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists
c_008,3,Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors
c_008,3,Opheim,def.public_employees,public employees designated as lobbyists
c_009,3,Newmark2005,def_compensation_standard,compensation standard
c_009,3,Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying)
c_009,3,Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity
c_010,3,Newmark2005,def_expenditure_standard,expenditure standard
c_010,3,Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying)
c_010,3,Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity
c_011,3,Newmark2005,def_time_standard,time standard
c_011,3,Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying)
c_011,3,Opheim,def.time_standard,specific time standard to delineate lobbying activity
c_012,3,Newmark2005,disc_total_compensation,total compensation received
c_012,3,Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received
c_012,3,Opheim,disclosure.total_income,total income
c_013,3,Newmark2005,disc_total_expenditures,total expenditures
c_013,3,Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying
c_013,3,Opheim,disclosure.total_spending,lobbyist's total spending
c_014,2,FOCAL,openness.4,"Downloadable (eg, as files, database)"
c_014,2,OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website
c_015,2,FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable
c_015,2,pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website."
c_016,2,FOCAL,relationships.1,Client list (for all consultant lobbyists and firms)
c_016,2,pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?
c_017,2,FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households"
c_017,2,HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?"
c_018,2,HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?
c_018,2,Sunlight,lobbyist_compensation,Lobbyist Compensation
c_019,2,HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?"
c_019,2,Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period)
c_020,2,Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time
c_020,2,Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time
c_021,2,Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session
c_021,2,Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions
c_022,2,Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts
c_022,2,Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited
c_023,2,Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence
c_023,2,Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action
c_024,2,Newmark2005,disc_compensation_by_employer,compensation received broken down by employers
c_024,2,Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer
