state,A_registration,B_gov_exemptions,C_public_entity_def,D_materiality,E_info_disclosed,total_2010,percent_2010,rank_2010
Alabama,7,3,0,1,8,19,51.4,36
Alaska,5,2,0,1,18,26,70.3,9
Arizona,11,3,1,0,15,30,81.1,2
Arkansas,6,3,0,1,11,21,56.8,32
California,6,2,0,1,14,23,62.2,20
Colorado,8,0,0,1,10,19,51.4,36
Connecticut,5,1,0,1,17,24,64.9,18
Delaware,7,3,0,0,11,21,56.8,32
Florida,10,3,0,0,9,22,59.5,29
Georgia,6,3,0,1,13,23,62.2,20
Hawaii,3,3,0,1,16,23,62.2,20
Idaho,6,3,0,1,13,23,62.2,20
Illinois,8,3,0,0,16,27,73.0,6
Indiana,8,3,1,1,15,28,75.7,5
Iowa,7,3,1,1,10,22,59.5,29
Kansas,5,2,0,1,6,14,37.8,44
Kentucky,8,0,0,0,15,23,62.2,20
Louisiana,6,3,0,0,11,20,54.1,34
Maine,8,0,0,1,17,26,70.3,9
Maryland,1,0,0,1,11,13,35.1,47
Massachusetts,8,3,0,1,14,26,70.3,9
Michigan,7,3,0,1,15,26,70.3,9
Minnesota,1,2,0,1,13,17,45.9,42
Mississippi,10,1,0,1,14,26,70.3,9
Missouri,7,3,0,1,12,23,62.2,20
Montana,9,3,0,1,18,31,83.8,1
Nebraska,8,3,0,0,16,27,73.0,6
Nevada,5,0,0,0,6,11,29.7,49
New Hampshire,1,0,0,0,11,12,32.4,48
New Jersey,1,0,0,1,16,18,48.6,39
New Mexico,9,2,0,0,13,24,64.9,18
New York,3,0,0,1,18,22,59.5,29
North Carolina,6,3,0,1,13,23,62.2,20
North Dakota,7,3,0,0,7,17,45.9,42
Ohio,7,2,1,1,15,26,70.3,9
Oklahoma,6,3,0,0,5,14,37.8,44
Oregon,7,3,1,1,14,26,70.3,9
Pennsylvania,8,3,0,0,14,25,67.6,16
Rhode Island,9,0,0,0,14,23,62.2,20
South Carolina,10,3,1,1,14,29,78.4,3
South Dakota,3,1,0,0,14,18,48.6,39
Tennessee,8,3,0,0,8,19,51.4,36
Texas,7,3,0,1,18,29,78.4,3
Utah,6,3,0,0,14,23,62.2,20
Vermont,8,3,0,1,15,27,73.0,6
Virginia,6,3,0,1,10,20,54.1,34
Washington,6,2,0,1,16,25,67.6,16
West Virginia,1,0,0,1,9,11,29.7,49
Wisconsin,6,1,0,1,10,18,48.6,39
Wyoming,7,2,0,0,5,14,37.8,44
