state_abbr,target_year,chosen_year,year_delta,direction,current_year,eligible_for_calibration,eligible_for_2026_scoring,pri_state_reviewed,n_available_years,min_available_year,max_available_year
AK,2010,2010,0,exact,2025,True,True,True,33,1993,2025
AL,2010,2009,-1,pre,2025,True,True,True,16,2006,2025
AR,2010,2010,0,exact,2024,True,True,False,11,2010,2024
AZ,2010,2010,0,exact,2025,True,True,True,17,2005,2025
CA,2010,2010,0,exact,2025,True,True,True,19,2005,2025
CO,2010,,,none,2024,False,True,True,9,2016,2024
CT,2010,2009,-1,pre,2024,True,True,True,14,2005,2024
DE,2010,2010,0,exact,2025,True,True,True,16,2006,2025
FL,2010,2010,0,exact,2025,True,True,False,29,1997,2025
GA,2010,2010,0,exact,2024,True,True,False,14,2006,2024
HI,2010,2010,0,exact,2025,True,True,True,17,2009,2025
IA,2010,2009,-1,pre,2025,True,True,False,15,2009,2025
ID,2010,2010,0,exact,2025,True,True,False,17,2005,2025
IL,2010,2010,0,exact,2025,True,True,False,16,2005,2025
IN,2010,2010,0,exact,2025,True,True,True,17,2006,2025
KS,2010,2009,-1,pre,2024,True,True,True,15,2006,2024
KY,2010,2009,-1,pre,2025,True,True,True,17,2006,2025
LA,2010,2009,-1,pre,2025,True,True,True,17,2006,2025
MA,2010,2010,0,exact,2025,True,True,False,16,2006,2025
MD,2010,2010,0,exact,2025,True,True,True,15,2005,2025
ME,2010,2010,0,exact,2025,True,True,True,18,2005,2025
MI,2010,2010,0,exact,2025,True,True,False,16,2006,2025
MN,2010,2010,0,exact,2025,True,True,True,29,1997,2025
MO,2010,2009,-1,pre,2025,True,True,False,17,2005,2025
MS,2010,2010,0,exact,2024,True,True,False,12,2010,2024
MT,2010,2009,-1,pre,2025,True,True,True,14,2005,2025
NC,2010,2010,0,exact,2025,True,True,False,17,2005,2025
ND,2010,2009,-1,pre,2025,True,True,False,16,2009,2025
NE,2010,2009,-1,pre,2025,True,True,True,16,2006,2025
NH,2010,2010,0,exact,2025,True,True,True,17,2006,2025
NJ,2010,2009,-1,pre,2025,True,True,True,14,2009,2025
NM,2010,2009,-1,pre,2025,True,True,True,15,2006,2025
NV,2010,2010,0,exact,2025,True,True,True,15,2005,2025
NY,2010,2010,0,exact,2025,True,True,True,16,2006,2025
OH,2010,2010,0,exact,2025,True,True,True,17,2006,2025
OK,2010,2010,0,exact,2025,True,True,False,16,2006,2025
OR,2010,2009,-1,pre,2025,True,True,True,11,2005,2025
PA,2010,2010,0,exact,2025,True,True,False,14,2010,2025
RI,2010,2010,0,exact,2025,True,True,True,17,2005,2025
SC,2010,2010,0,exact,2025,True,True,True,17,2005,2025
SD,2010,2010,0,exact,2025,True,True,True,17,2006,2025
TN,2010,2010,0,exact,2024,True,True,False,12,2010,2024
TX,2010,2009,-1,pre,2025,True,True,True,12,2005,2025
UT,2010,2010,0,exact,2025,True,True,False,16,2006,2025
VA,2010,2010,0,exact,2025,True,True,True,16,2006,2025
VT,2010,2009,-1,pre,2025,True,True,True,17,2005,2025
WA,2010,2010,0,exact,2025,True,True,True,27,1973,2025
WI,2010,2010,0,exact,2025,True,True,True,16,2010,2025
WV,2010,2010,0,exact,2025,True,True,True,18,2005,2025
WY,2010,2010,0,exact,2025,True,True,True,16,2010,2025
